what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms",1311033518092
os,sysinfo,,,"macosx",1311033518096
arch,sysinfo,,,"x86",1311033518096
ws,sysinfo,,,"cocoa",1311033518096
locale,sysinfo,,,"en_US",1311033518096
processors,sysinfo,,,"2",1311033518096
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1311033518097
java.runtime.version,sysinfo,,,"1.6.0_26-b03-384-10M3425",1311033518097
java.specification.name,sysinfo,,,"Java Platform API Specification",1311033518097
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1311033518097
java.specification.version,sysinfo,,,"1.6",1311033518097
java.vendor,sysinfo,,,"Apple Inc.",1311033518097
java.version,sysinfo,,,"1.6.0_26",1311033518097
java.vm.info,sysinfo,,,"mixed mode",1311033518097
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1311033518097
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1311033518097
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1311033518097
java.vm.specification.version,sysinfo,,,"1.0",1311033518097
java.vm.vendor,sysinfo,,,"Apple Inc.",1311033518097
java.vm.version,sysinfo,,,"20.1-b02-384",1311033518097
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311033541427
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311033796236
activated,editor,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1311033796322
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311033838848
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311033843783
